year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2023,European Championships,VLKOVA Alice ,CZE,24,VT,2,4.4 ,8.700 ,13.100 ,,,,
2023,European Championships,VLKOVA Alice ,CZE,24,UB,3,4.5 ,7.066 ,11.566 ,,,,
2023,European Championships,VLKOVA Alice ,CZE,24,BB,4,4.8 ,4.633 ,9.433 ,,,,
2023,European Championships,VLKOVA Alice ,CZE,24,FX,1,5.0 ,7.233 ,12.233 ,,,,
2024,olympic,BILES Simone,USA,1,VT,1,6.4 ,9.366 ,15.766 ,,,,
2024,olympic,BILES Simone,USA,1,UB,2,6.2 ,7.533 ,13.733 ,,,,
2024,olympic,BILES Simone,USA,1,BB,3,6.4 ,8.166 ,14.566 ,,,,
2024,olympic,BILES Simone,USA,1,FX,4,6.9 ,8.166 ,15.066 ,,,,
2024,olympic,ANDRADE Rebeca,BRA,2,VT,1,5.6 ,9.500 ,15.100 ,,,,
2024,olympic,ANDRADE Rebeca,BRA,2,UB,2,6.2 ,8.466 ,14.666 ,,,,
2024,olympic,ANDRADE Rebeca,BRA,2,BB,3,6.1 ,8.033 ,14.133 ,,,,
2024,olympic,ANDRADE Rebeca,BRA,2,FX,4,5.9 ,8.133 ,14.033 ,,,,
2024,olympic,LEE Sunisa,USA,3,VT,1,5.0 ,8.933 ,13.933 ,,,,
2024,olympic,LEE Sunisa,USA,3,UB,2,6.4 ,8.466 ,14.866 ,,,,
2024,olympic,LEE Sunisa,USA,3,BB,3,6.2 ,7.800 ,14.000 ,,,,
2024,olympic,LEE Sunisa,USA,3,FX,4,5.4 ,8.266 ,13.666 ,,,,
2024,olympic,D'AMATO Alice ,ITA,4,VT,1,5.0 ,9.000 ,14.000 ,,,,
2024,olympic,D'AMATO Alice ,ITA,4,UB,2,6.4 ,8.400 ,14.800 ,,,,
2024,olympic,D'AMATO Alice ,ITA,4,BB,3,5.8 ,8.233 ,14.033 ,,,,
2024,olympic,D'AMATO Alice ,ITA,4,FX,4,5.6 ,7.900 ,13.500 ,,,,
2024,olympic,NEMOUR Kaylia,ALG,5,VT,1,5.0 ,9.033 ,14.033 ,,,,
2024,olympic,NEMOUR Kaylia,ALG,5,UB,2,7.2 ,8.333 ,15.533 ,,,,
2024,olympic,NEMOUR Kaylia,ALG,5,BB,3,5.6 ,7.633 ,13.233 ,,,,
